final_kills,secondary_uniques,staff_pieces,total_drops,drop_rate,staff_drop_rate,kill_time_mins,total_log_hours,staff_gp,staff_gp_per_hour,quant
1413,5,3,8,176.625,471,2826,47.1,1000000000,21.231422505307854,3
980,5,3,8,122.5,326.6666666666667,1960,32.666666666666664,1000000000,30.612244897959187,3
1421,7,3,10,142.1,473.6666666666667,2842,47.36666666666667,1000000000,21.111893033075297,3
1786,11,4,15,119.06666666666666,446.5,3572,59.53333333333333,1333333333.3333333,22.396416573348265,4
965,5,3,8,120.625,321.6666666666667,1930,32.166666666666664,1000000000,31.088082901554404,3
1326,11,3,14,94.71428571428571,442,2652,44.2,1000000000,22.62443438914027,3
1665,6,4,10,166.5,416.25,3330,55.5,1333333333.3333333,24.024024024024023,4
2260,16,3,19,118.94736842105263,753.3333333333334,4520,75.33333333333333,1000000000,13.274336283185841,4
1283,5,3,8,160.375,427.6666666666667,2566,42.766666666666666,1000000000,23.38269680436477,3
942,5,4,9,104.66666666666667,235.5,1884,31.4,1333333333.3333333,42.462845010615716,3
1896,5,10,15,126.4,189.6,3792,63.2,3333333333.333333,52.74261603375526,4
1622,8,5,13,124.76923076923077,324.4,3244,54.06666666666667,1666666666.6666665,30.82614056720098,4
2591,10,4,14,185.07142857142858,647.75,5182,86.36666666666666,1333333333.3333333,15.43805480509456,4
2763,24,3,27,102.33333333333333,921,5526,92.1,1000000000,10.857763300760043,5
1812,10,3,13,139.3846153846154,604,3624,60.4,1000000000,16.55629139072848,4
1592,3,5,8,199,318.4,3184,53.06666666666667,1666666666.6666665,31.407035175879393,4
968,6,3,9,107.55555555555556,322.6666666666667,1936,32.266666666666666,1000000000,30.991735537190085,3
974,4,3,7,139.14285714285714,324.6666666666667,1948,32.46666666666667,1000000000,30.80082135523614,3
984,6,3,9,109.33333333333333,328,1968,32.8,1000000000,30.48780487804878,3
2529,10,7,17,148.76470588235293,361.2857142857143,5058,84.3,2333333333.333333,27.678924476077498,4
2304,14,3,17,135.52941176470588,768,4608,76.8,1000000000,13.020833333333334,4
1857,8,6,14,132.64285714285714,309.5,3714,61.9,2000000000,32.31017770597738,4
2185,9,3,12,182.08333333333334,728.3333333333334,4370,72.83333333333333,1000000000,13.729977116704807,4
1523,6,5,11,138.45454545454547,304.6,3046,50.766666666666666,1666666666.6666665,32.829940906106366,3
2544,15,3,18,141.33333333333334,848,5088,84.8,1000000000,11.792452830188681,4
1560,14,3,17,91.76470588235294,520,3120,52,1000000000,19.230769230769234,3
1605,8,3,11,145.9090909090909,535,3210,53.5,1000000000,18.69158878504673,4
2396,24,3,27,88.74074074074075,798.6666666666666,4792,79.86666666666666,1000000000,12.520868113522539,4
2082,9,3,12,173.5,694,4164,69.4,1000000000,14.40922190201729,4
1807,8,3,11,164.27272727272728,602.3333333333334,3614,60.233333333333334,1000000000,16.602102933038186,4
1560,8,3,11,141.8181818181818,520,3120,52,1000000000,19.230769230769234,3
2159,11,5,16,134.9375,431.8,4318,71.96666666666667,1666666666.6666665,23.158869847151454,4
1251,5,3,8,156.375,417,2502,41.7,1000000000,23.980815347721823,3
1338,8,4,12,111.5,334.5,2676,44.6,1333333333.3333333,29.89536621823617,3
1999,8,4,12,166.58333333333334,499.75,3998,66.63333333333334,1333333333.3333333,20.010005002501245,4
2642,18,3,21,125.80952380952381,880.6666666666666,5284,88.06666666666666,1000000000,11.355034065102195,5
2889,13,3,16,180.5625,963,5778,96.3,1000000000,10.384215991692626,5
1174,4,3,7,167.71428571428572,391.3333333333333,2348,39.13333333333333,1000000000,25.55366269165247,3
754,3,4,7,107.71428571428571,188.5,1508,25.133333333333333,1333333333.3333333,53.05039787798408,2
1704,8,6,14,121.71428571428571,284,3408,56.8,2000000000,35.2112676056338,4
1613,9,4,13,124.07692307692308,403.25,3226,53.766666666666666,1333333333.3333333,24.79851208927464,4
1122,8,3,11,102,374,2244,37.4,1000000000,26.737967914438503,3
1789,6,3,9,198.77777777777777,596.3333333333334,3578,59.63333333333333,1000000000,16.769144773616546,4
1362,4,4,8,170.25,340.5,2724,45.4,1333333333.3333333,29.36857562408223,3
1401,5,3,8,175.125,467,2802,46.7,1000000000,21.41327623126338,3
1378,4,4,8,172.25,344.5,2756,45.93333333333333,1333333333.3333333,29.02757619738752,3
1472,5,5,10,147.2,294.4,2944,49.06666666666667,1666666666.6666665,33.96739130434782,3
1893,8,4,12,157.75,473.25,3786,63.1,1333333333.3333333,21.130480718436342,4
1661,10,3,13,127.76923076923077,553.6666666666666,3322,55.36666666666667,1000000000,18.06140878988561,4
826,5,3,8,103.25,275.3333333333333,1652,27.533333333333335,1000000000,36.319612590799025,2
1946,18,3,21,92.66666666666667,648.6666666666666,3892,64.86666666666666,1000000000,15.416238437821175,4
1162,10,4,14,83,290.5,2324,38.733333333333334,1333333333.3333333,34.42340791738382,3
1148,4,5,9,127.55555555555556,229.6,2296,38.266666666666666,1666666666.6666665,43.55400696864111,3
1491,4,4,8,186.375,372.75,2982,49.7,1333333333.3333333,26.827632461435275,3
1906,7,3,10,190.6,635.3333333333334,3812,63.53333333333333,1000000000,15.739769150052465,4
2066,14,5,19,108.73684210526316,413.2,4132,68.86666666666666,1666666666.6666665,24.201355275895452,4
1257,8,3,11,114.27272727272727,419,2514,41.9,1000000000,23.86634844868735,3
2706,19,3,22,123,902,5412,90.2,1000000000,11.086474501108647,5
