final_kills,secondary_uniques,staff_pieces,total_drops,drop_rate,staff_drop_rate,kill_time_mins,total_log_hours,staff_gp,staff_gp_per_hour
540,11,4,15,36,135,2700,45,4000000000,88.8888888888889
880,10,5,15,58.666666666666664,176,4400,73.33333333333333,5000000000,68.18181818181819
809,15,6,21,38.523809523809526,134.83333333333334,4045,67.41666666666667,6000000000,88.99876390605685
509,6,3,9,56.55555555555556,169.66666666666666,2545,42.416666666666664,3000000000,70.7269155206287
499,11,3,14,35.642857142857146,166.33333333333334,2495,41.583333333333336,3000000000,72.14428857715431
648,10,3,13,49.84615384615385,216,3240,54,3000000000,55.55555555555555
449,7,3,10,44.9,149.66666666666666,2245,37.416666666666664,3000000000,80.1781737193764
258,4,5,9,28.666666666666668,51.6,1290,21.5,5000000000,232.5581395348837
446,4,3,7,63.714285714285715,148.66666666666666,2230,37.166666666666664,3000000000,80.71748878923768
603,17,3,20,30.15,201,3015,50.25,3000000000,59.701492537313435
513,5,5,10,51.3,102.6,2565,42.75,5000000000,116.95906432748538
599,8,3,11,54.45454545454545,199.66666666666666,2995,49.916666666666664,3000000000,60.10016694490819
898,9,8,17,52.8235294117647,112.25,4490,74.83333333333333,8000000000,106.9042316258352
570,13,3,16,35.625,190,2850,47.5,3000000000,63.1578947368421
421,6,4,10,42.1,105.25,2105,35.083333333333336,4000000000,114.01425178147268
434,9,3,12,36.166666666666664,144.66666666666666,2170,36.166666666666664,3000000000,82.94930875576037
683,8,3,11,62.09090909090909,227.66666666666666,3415,56.916666666666664,3000000000,52.7086383601757
373,7,4,11,33.90909090909091,93.25,1865,31.083333333333332,4000000000,128.686327077748
1156,11,7,18,64.22222222222223,165.14285714285714,5780,96.33333333333333,7000000000,72.66435986159169
267,5,3,8,33.375,89,1335,22.25,3000000000,134.83146067415728
978,15,6,21,46.57142857142857,163,4890,81.5,6000000000,73.61963190184049
287,9,3,12,23.916666666666668,95.66666666666667,1435,23.916666666666668,3000000000,125.4355400696864
1201,24,3,27,44.48148148148148,400.3333333333333,6005,100.08333333333333,3000000000,29.975020815986678
483,7,3,10,48.3,161,2415,40.25,3000000000,74.53416149068323
553,7,3,10,55.3,184.33333333333334,2765,46.083333333333336,3000000000,65.09945750452079
561,9,3,12,46.75,187,2805,46.75,3000000000,64.171122994652407
306,4,3,7,43.714285714285715,102,1530,25.5,3000000000,117.6470588235294
977,14,3,17,57.470588235294116,325.6666666666667,4885,81.41666666666667,3000000000,36.8474923234391
827,11,6,17,48.64705882352941,137.83333333333334,4135,68.91666666666667,6000000000,87.06166868198306
616,12,6,18,34.22222222222222,102.66666666666667,3080,51.333333333333336,6000000000,116.88311688311687
821,10,8,18,45.611111111111114,102.625,4105,68.41666666666667,8000000000,116.93057247259439
571,10,4,14,40.785714285714285,142.75,2855,47.583333333333336,4000000000,84.0630472854641
299,7,3,10,29.9,99.66666666666667,1495,24.916666666666668,3000000000,120.40133779264214
769,7,5,12,64.08333333333333,153.8,3845,64.08333333333333,5000000000,78.02340702210664
724,14,7,21,34.476190476190474,103.42857142857143,3620,60.333333333333336,7000000000,116.02209944751381
553,8,5,13,42.53846153846154,110.6,2765,46.083333333333336,5000000000,108.49909584086798
855,13,10,23,37.17391304347826,85.5,4275,71.25,10000000000,140.35087719298247
878,7,6,13,67.53846153846153,146.33333333333334,4390,73.16666666666667,6000000000,82.00455580865604
954,19,11,30,31.8,86.72727272727273,4770,79.5,11000000000,138.36477987421384
598,10,7,17,35.1764705882353,85.42857142857143,2990,49.833333333333336,7000000000,140.46822742474916
470,5,3,8,58.75,156.66666666666666,2350,39.166666666666664,3000000000,76.59574468085107
520,9,3,12,43.333333333333336,173.33333333333334,2600,43.333333333333336,3000000000,69.23076923076923
1170,13,8,21,55.714285714285715,146.25,5850,97.5,8000000000,82.05128205128204
413,7,4,11,37.54545454545455,103.25,2065,34.416666666666664,4000000000,116.2227602905569
723,13,3,16,45.1875,241,3615,60.25,3000000000,49.79253112033195
653,11,7,18,36.27777777777778,93.28571428571429,3265,54.416666666666664,7000000000,128.63705972434914
600,7,7,14,42.857142857142854,85.71428571428571,3000,50,7000000000,140
405,8,5,13,31.153846153846153,81,2025,33.75,5000000000,148.14814814814815
1013,9,5,14,72.35714285714286,202.6,5065,84.41666666666667,5000000000,59.23000987166831
557,11,6,17,32.76470588235294,92.83333333333333,2785,46.416666666666664,6000000000,129.26391382405745
422,6,3,9,46.888888888888886,140.66666666666666,2110,35.166666666666664,3000000000,85.30805687203792
450,8,3,11,40.90909090909091,150,2250,37.5,3000000000,80
476,5,3,8,59.5,158.66666666666666,2380,39.666666666666664,3000000000,75.63025210084035
394,7,3,10,39.4,131.33333333333334,1970,32.833333333333336,3000000000,91.3705583756345
728,8,4,12,60.666666666666664,182,3640,60.666666666666664,4000000000,65.93406593406594
1172,12,7,19,61.68421052631579,167.42857142857142,5860,97.66666666666667,7000000000,71.67235494880545
271,4,3,7,38.714285714285715,90.33333333333333,1355,22.583333333333332,3000000000,132.84132841328415
170,5,3,8,21.25,56.666666666666664,850,14.166666666666666,3000000000,211.76470588235296
866,20,3,23,37.65217391304348,288.6666666666667,4330,72.16666666666667,3000000000,41.57043879907621
762,12,5,17,44.8235294117647,152.4,3810,63.5,5000000000,78.74015748031495
509,5,3,8,63.625,169.66666666666666,2545,42.416666666666664,3000000000,70.7269155206287
541,11,3,14,38.642857142857146,180.33333333333334,2705,45.083333333333336,3000000000,66.54343807763401
949,16,4,20,47.45,237.25,4745,79.08333333333333,4000000000,50.579557428872505
608,7,3,10,60.8,202.66666666666666,3040,50.666666666666664,3000000000,59.21052631578947
599,9,3,12,49.916666666666664,199.66666666666666,2995,49.916666666666664,3000000000,60.10016694490819
327,3,3,6,54.5,109,1635,27.25,3000000000,110.09174311926604
646,13,4,17,38,161.5,3230,53.833333333333336,4000000000,74.30340557275541
455,5,4,9,50.55555555555556,113.75,2275,37.916666666666664,4000000000,105.49450549450549
429,9,3,12,35.75,143,2145,35.75,3000000000,83.91608391608392
794,13,3,16,49.625,264.6666666666667,3970,66.16666666666667,3000000000,45.34005037783375
750,10,9,19,39.473684210526315,83.33333333333333,3750,62.5,9000000000,144
622,9,3,12,51.833333333333336,207.33333333333334,3110,51.833333333333336,3000000000,57.877813504823145
438,8,3,11,39.81818181818182,146,2190,36.5,3000000000,82.1917808219178
1003,18,7,25,40.12,143.28571428571428,5015,83.58333333333333,7000000000,83.74875373878366
388,5,5,10,38.8,77.6,1940,32.333333333333336,5000000000,154.63917525773195
603,9,4,13,46.38461538461539,150.75,3015,50.25,4000000000,79.60199004975124
923,14,8,22,41.95454545454545,115.375,4615,76.91666666666667,8000000000,104.00866738894906
280,5,3,8,35,93.33333333333333,1400,23.333333333333332,3000000000,128.57142857142858
594,7,3,10,59.4,198,2970,49.5,3000000000,60.60606060606061
967,15,9,24,40.291666666666664,107.44444444444444,4835,80.58333333333333,9000000000,111.68562564632884
166,5,3,8,20.75,55.333333333333336,830,13.833333333333334,3000000000,216.86746987951807
298,4,3,7,42.57142857142857,99.33333333333333,1490,24.833333333333332,3000000000,120.8053691275168
